x, y, theta, stamp, 
6.280194497776392e-08, -7.25892022046537e-08, 7.152781511213501e-07, 1729863144799579408, 
6.280194497776392e-08, -7.25892022046537e-08, 7.152790606198843e-07, 1729863144869739602, 
6.280194497776392e-08, -7.25892022046537e-08, 7.152796290564683e-07, 1729863144919756767, 
6.280194497776392e-08, -7.25892022046537e-08, 7.152804248676857e-07, 1729863144959639551, 
0.0004856172890868038, 2.246511576231569e-05, -0.0024130460045025436, 1729863145009559508, 
0.0033603610936552286, -0.0003608374099712819, -0.010818037690572846, 1729863145059595843, 
0.008403156884014606, -0.0008946526795625687, -0.021514016476926846, 1729863145109668042, 
0.016347765922546387, -0.0020158004481345415, -0.03961861971569734, 1729863145169730614, 
0.02451416291296482, -0.003212437964975834, -0.05813640199478818, 1729863145219042083, 
0.034827712923288345, -0.004473340231925249, -0.07964279167896005, 1729863145269671069, 
0.047530028969049454, -0.005645545665174723, -0.107089138427681, 1729863145320175720, 
0.05884060263633728, -0.006588039919734001, -0.13060707150747408, 1729863145359834407, 
0.09033523499965668, -0.011223572306334972, -0.19341494517867983, 1729863145459664933, 
0.11997772753238678, -0.01749875210225582, -0.25554995682595755, 1729863145559100127, 
0.1510888785123825, -0.026530282571911812, -0.3196399005526676, 1729863145669722986, 
0.17644289135932922, -0.03527289256453514, -0.3713054436230164, 1729863145758910572, 
0.20425774157047272, -0.04685841500759125, -0.43141821831978294, 1729863145859239363, 
0.23108336329460144, -0.059994880110025406, -0.48786614902450093, 1729863145958843047, 
0.2596556544303894, -0.07581976056098938, -0.5447977394018088, 1729863146069519831, 
0.272214412689209, -0.08347209542989731, -0.5685419860993542, 1729863146118827039, 
0.30595120787620544, -0.10598357021808624, -0.6339491811783651, 1729863146259579666, 
0.33087608218193054, -0.1248801052570343, -0.6789932105277606, 1729863146369323561, 
0.3518874943256378, -0.1421414166688919, -0.7158704465418745, 1729863146469604953, 
0.369794636964798, -0.158233180642128, -0.7473597388583729, 1729863146559573781, 
0.38897842168807983, -0.17650343477725983, -0.7746957418566595, 1729863146659686495, 
0.40826523303985596, -0.1956646889448166, -0.8025044068946813, 1729863146768803778, 
0.4256090819835663, -0.21387368440628052, -0.8261749562996591, 1729863146870614759, 
0.4398423135280609, -0.2299422025680542, -0.8467642291706584, 1729863146959582000, 
0.45473605394363403, -0.2473343014717102, -0.8650839315569844, 1729863147059735175, 
0.4702827036380768, -0.2661997675895691, -0.8845590128106016, 1729863147169155830, 
0.4836723804473877, -0.2828930914402008, -0.8974763761709122, 1729863147270970132, 
0.49523404240608215, -0.297799676656723, -0.9067434242247877, 1729863147359585339, 
0.507340669631958, -0.313338041305542, -0.917008640004627, 1729863147459693689, 
0.5196009874343872, -0.3297635018825531, -0.9260099686169185, 1729863147569484149, 
0.5299464464187622, -0.34360894560813904, -0.9320248688324313, 1729863147667623260, 
0.5391013622283936, -0.35648101568222046, -0.9355871011487488, 1729863147759591910, 
0.5487850308418274, -0.36965617537498474, -0.9411666601002491, 1729863147860705362, 
0.557491660118103, -0.3819822669029236, -0.9411011721526247, 1729863147957033235, 
0.5673625469207764, -0.395881712436676, -0.945795007534192, 1729863148068631966, 
0.5752148628234863, -0.4067878723144531, -0.9456382340848142, 1729863148160598762, 
0.5833974480628967, -0.4183374047279358, -0.9458363198723162, 1729863148259645869, 
0.5921232104301453, -0.4304383397102356, -0.9472620994191493, 1729863148370343419, 
0.5997353196144104, -0.44139039516448975, -0.9470637365286331, 1729863148469734542, 
0.6066116094589233, -0.4512692391872406, -0.9481709582681052, 1729863148559615931, 
0.6140272617340088, -0.46157434582710266, -0.9501202384768342, 1729863148659719947, 
0.6220510005950928, -0.47256702184677124, -0.9468809289577099, 1729863148770079679, 
0.6295818090438843, -0.48279255628585815, -0.9468809289577099, 1729863148869691668, 
0.635863721370697, -0.49156275391578674, -0.9463139246564182, 1729863148959729359, 
0.6427886486053467, -0.5009271502494812, -0.9459034313148539, 1729863149059718730, 
0.6497882604598999, -0.5108361840248108, -0.9459034313148823, 1729863149159233529, 
0.6568682193756104, -0.5206748247146606, -0.9462374028083411, 1729863149268813469, 
0.662681519985199, -0.5290524363517761, -0.9453888336825949, 1729863149359627438, 
0.6691544651985168, -0.5379235744476318, -0.944955880099725, 1729863149458796303, 
0.6759844422340393, -0.5477499961853027, -0.9448488792394536, 1729863149569449178, 
0.6819688081741333, -0.5559837222099304, -0.9442901524263884, 1729863149668867755, 
0.6875162124633789, -0.5637599229812622, -0.9442901524263884, 1729863149760622979, 
0.6937547326087952, -0.572148323059082, -0.9442901524263884, 1729863149859631094, 
0.7000470161437988, -0.5809566974639893, -0.9433013900018858, 1729863149968988398, 
0.705856204032898, -0.5889909267425537, -0.9433013900018858, 1729863150069650044, 
0.7111688852310181, -0.5962721109390259, -0.9422765058730027, 1729863150161641341, 
0.7167121767997742, -0.6039782166481018, -0.9414948003468899, 1729863150259391475, 
0.7227151393890381, -0.6121745109558105, -0.9426160214862455, 1729863150369394732, 
0.7279914021492004, -0.6193227171897888, -0.942616096489344, 1729863150469224133, 
0.7327600717544556, -0.625824511051178, -0.9439402363205297, 1729863150559746779, 
0.7378053069114685, -0.6331419944763184, -0.9439403113562743, 1729863150658946880, 
0.7427669167518616, -0.640045166015625, -0.9453011738365199, 1729863150759027227, 
0.748275101184845, -0.6472738981246948, -0.944900803953371, 1729863150869715332, 
0.7525911331176758, -0.653216540813446, -0.9453564256848824, 1729863150960806986, 
0.757377028465271, -0.6600673198699951, -0.9453564256853075, 1729863151059764303, 
