x, y, theta, stamp, 
-8.373323368005003e-08, 9.67850439792528e-08, -9.537653376642907e-07, 1729868018981778861, 
-8.373323368005003e-08, 9.67850439792528e-08, -9.537645951215874e-07, 1729868019021140629, 
-8.373323368005003e-08, 9.67850439792528e-08, -9.53765504622729e-07, 1729868019073455318, 
-8.373323368005003e-08, 9.67850439792528e-08, -9.537645951215874e-07, 1729868019120234889, 
0.001736984821036458, 3.2102652767207474e-05, 0.0018148457583095307, 1729868019171430587, 
0.006930692121386528, 0.00022760994033887982, 0.002012732861846628, 1729868019222093805, 
0.01603139005601406, 3.0470051569864154e-05, 0.003231281166294425, 1729868019280186489, 
0.022035323083400726, -8.454184717265889e-05, 0.002459043941939901, 1729868019310474727, 
0.03778471797704697, 0.0002572294033598155, 0.003048883630226558, 1729868019382129623, 
0.048970144242048264, 0.00037286162842065096, 0.004363282277456086, 1729868019421405966, 
0.0625651478767395, 0.0002949971822090447, 0.006182412694281976, 1729868019471514880, 
0.07613109797239304, 0.0005534718511626124, 0.006362895380464841, 1729868019521147802, 
0.08887726068496704, 0.0005347130936570466, 0.007673482320854671, 1729868019570778642, 
0.10063163936138153, 0.0005728100659325719, 0.00931236833011869, 1729868019622057268, 
0.12184306979179382, 0.0008961033308878541, 0.011365382594009968, 1729868019711513644, 
0.1487896740436554, 0.0010760333389043808, 0.016167124607955465, 1729868019821837316, 
0.1734226644039154, 0.0015122146578505635, 0.021261190161372585, 1729868019921199068, 
0.19771315157413483, 0.002128798980265856, 0.028544467002020863, 1729868020021250897, 
0.21952103078365326, 0.0028252475894987583, 0.03506580578627899, 1729868020110851764, 
0.24635861814022064, 0.003837208729237318, 0.042783537372786964, 1729868020223190815, 
0.26897871494293213, 0.00490372022613883, 0.05157933772669307, 1729868020319146583, 
0.29235127568244934, 0.006341931875795126, 0.06382297238950413, 1729868020418065519, 
0.3156517446041107, 0.008061536587774754, 0.07490098140750945, 1729868020515985579, 
0.34178921580314636, 0.010201274417340755, 0.08751584658092047, 1729868020625271340, 
0.36394771933555603, 0.012391001917421818, 0.09848658078957268, 1729868020716319706, 
0.38935959339141846, 0.014995445497334003, 0.10949686340230305, 1729868020821055868, 
0.4109944999217987, 0.017263950780034065, 0.122087051696059, 1729868020911249910, 
0.43636125326156616, 0.020654361695051193, 0.13757389159655936, 1729868021021946725, 
0.4597068130970001, 0.024039341136813164, 0.15214489495477582, 1729868021121261949, 
0.47129741311073303, 0.02597937360405922, 0.15837372757059937, 1729868021170628607, 
0.5035596489906311, 0.03161599487066269, 0.1761382097852413, 1729868021310760737, 
0.5274905562400818, 0.036147989332675934, 0.19590066651588361, 1729868021421318934, 
0.5491962432861328, 0.04077569767832756, 0.2090710512587819, 1729868021521194853, 
0.5697888135910034, 0.0452142097055912, 0.22404110308565223, 1729868021618076831, 
0.5942935943603516, 0.05112612619996071, 0.23850967025485437, 1729868021732864532, 
0.6112028956413269, 0.05519162118434906, 0.2500114746790107, 1729868021812791809, 
0.6230816841125488, 0.05835718661546707, 0.2548070563820196, 1729868021871625919, 
0.652645468711853, 0.06629330664873123, 0.2676860660711245, 1729868022019034315, 
0.6712985038757324, 0.07159499078989029, 0.27797386604214464, 1729868022111904029, 
0.6905843019485474, 0.07718189805746078, 0.2924338264531866, 1729868022208331186, 
0.7029105424880981, 0.08100828528404236, 0.2990943200929583, 1729868022271430477, 
0.7318077087402344, 0.09019403159618378, 0.31554664915113195, 1729868022419418444, 
0.7518850564956665, 0.09686164557933807, 0.3368399893188459, 1729868022529821204, 
0.7576921582221985, 0.09885811805725098, 0.34259478417607897, 1729868022561745160, 
0.7777721881866455, 0.10620007663965225, 0.3619663389547266, 1729868022672765910, 
0.7957152724266052, 0.11324211210012436, 0.3773384023702431, 1729868022770276140, 
0.8206153512001038, 0.12342458218336105, 0.39583705726056745, 1729868022911817513, 
0.8290938138961792, 0.12698528170585632, 0.4051428416610016, 1729868022961952709, 
0.8568827509880066, 0.1392577439546585, 0.43637804677826614, 1729868023121176116, 
0.865649938583374, 0.14331090450286865, 0.44603192232757555, 1729868023171758940, 
0.8883623480796814, 0.15434269607067108, 0.46714613193440885, 1729868023312019715, 
0.9057080149650574, 0.16320312023162842, 0.48819708654013017, 1729868023421245491, 
0.9222932457923889, 0.17213810980319977, 0.5000149874080697, 1729868023521216525, 
0.9381960034370422, 0.18104910850524902, 0.5139491036872017, 1729868023621969398, 
0.9519992470741272, 0.18889902532100677, 0.5315066436881856, 1729868023712899266, 
0.9685451984405518, 0.19872376322746277, 0.551652011143504, 1729868023821371376, 
0.983741819858551, 0.20821864902973175, 0.5695558793703092, 1729868023921207977, 
0.998180627822876, 0.21770256757736206, 0.5864881741538882, 1729868024022102694, 
1.011581540107727, 0.22659072279930115, 0.6033062210381531, 1729868024111770107, 
1.0264129638671875, 0.23699957132339478, 0.6190073885842141, 1729868024221181310, 
1.0400071144104004, 0.2466687113046646, 0.6376608790403256, 1729868024321176910, 
1.0465881824493408, 0.2514757513999939, 0.6461956606906544, 1729868024371652542, 
1.0676040649414062, 0.26765477657318115, 0.6713243721607094, 1729868024531838595, 
1.0786584615707397, 0.27652707695961, 0.680816607501844, 1729868024622813996, 
1.0914039611816406, 0.28707095980644226, 0.6911340631911134, 1729868024721576738, 
1.1037137508392334, 0.2975139319896698, 0.7028385849282396, 1729868024822118170, 
1.114927053451538, 0.3070961833000183, 0.7130771247426647, 1729868024911337383, 
1.1281993389129639, 0.31885576248168945, 0.7244596355904255, 1729868025025372452, 
1.1374638080596924, 0.32707545161247253, 0.7377108851293904, 1729868025117250313, 
1.1490317583084106, 0.3375641405582428, 0.7530219154139004, 1729868025217159740, 
1.1600159406661987, 0.34794339537620544, 0.7664022351953014, 1729868025316244931, 
1.1698249578475952, 0.3574885427951813, 0.7745756142084697, 1729868025411427915, 
1.1814125776290894, 0.3689016103744507, 0.7822818653621131, 1729868025521856301, 
1.1917009353637695, 0.3791535198688507, 0.7941966498624906, 1729868025623113318, 
1.2027533054351807, 0.39062997698783875, 0.8047367563992176, 1729868025731698855, 
