e, e_dot, e_int, stamp, 
-0.784715763944134, 0.0, -0.08758452999818975, 1729865768240546204, 
-0.7832806063592113, 0.014563139824183668, -0.07575774166315494, 1729865768273395292, 
-0.7771196057316176, 0.05761801872725542, -0.06296472784729282, 1729865768321094111, 
-0.7623373507271003, 0.12073365904396845, -0.08604355221669571, 1729865768384527372, 
-0.7151160836521919, 0.18503967427451715, -0.15785431618383086, 1729865768531139623, 
-0.6952823360227218, 0.5026948029442333, -0.11829492782688424, 1729865768547862826, 
-0.6771060980808383, 0.5939091082562123, -0.0328672673726678, 1729865768578373917, 
-0.6340684604582396, 0.40505444205523844, -0.06687497086501226, 1729865768647852471, 
-0.6115166146606867, 0.4373155410259478, -0.065399685259597, 1729865768680417895, 
-0.5918351934059807, 0.4520334290078237, -0.03811077287806439, 1729865768710076841, 
-0.5452429868410258, 0.4304140156886529, -0.06055480064052048, 1729865768784309547, 
-0.5213767566632228, 0.3747431279929881, -0.06760637816374594, 1729865768832370869, 
-0.498011318984783, 0.3283256150102551, -0.05001723292285637, 1729865768880211835, 
-0.4534842666022567, 0.31639804162842794, -0.07092945263734206, 1729865768976842560, 
-0.4185708800694736, 0.27549429725561847, -0.08773182707659267, 1729865769072316005, 
-0.39016534500471245, 0.21110652993309845, -0.08482530116542786, 1729865769178452267, 
-0.3588789357998099, 0.1901221596484801, -0.08153166399254119, 1729865769281798547, 
-0.33641756643325804, 0.17989803300928475, -0.0716896381429075, 1729865769376588125, 
-0.30887544850264304, 0.1607637095502997, -0.06930620881396009, 1729865769488853351, 
-0.28260900887477547, 0.17231708977349583, -0.06463392852412411, 1729865769585556077, 
-0.25916964614050375, 0.17193515711865057, -0.05463833735278245, 1729865769681546258, 
-0.2382903503595104, 0.15464130040782334, -0.04966669246557678, 1729865769776564919, 
-0.20701548759336008, 0.1659072803193839, -0.04873210804992046, 1729865769889071328, 
-0.18618329000764966, 0.16543970900053212, -0.043766366290375974, 1729865769984484728, 
-0.16872401519026115, 0.13339766417431217, -0.035854235834051396, 1729865770080490343, 
-0.15102397246797628, 0.12206285781384187, -0.03238438518220335, 1729865770176513092, 
-0.13242463814240324, 0.12617535222298687, -0.028908855731395247, 1729865770272290028, 
-0.11756359931073801, 0.10885710048668662, -0.027808850159028585, 1729865770384553018, 
-0.1056710138463326, 0.08544295144721432, -0.024683723819811116, 1729865770480498225, 
-0.09722420051586766, 0.07049061615569087, -0.020558303797354953, 1729865770577011171, 
-0.08827287287463337, 0.06004289016000025, -0.018748362053418375, 1729865770673668729, 
-0.08015885025053393, 0.05521195297871682, -0.018398192795336745, 1729865770784778337, 
-0.074261770450883, 0.044874469596440654, -0.01673349811972011, 1729865770880516031, 
-0.06839140107687669, 0.040899849181611235, -0.014245896289432578, 1729865770976588853, 
