e, e_dot, e_int, stamp, 
-0.7853981633921379, 9.654979318207903e-12, -0.08594142905145649, 1729865065247765495, 
-0.7837006468039331, 0.011100763723843868, -0.07864890506284497, 1729865065298738462, 
-0.7755044945487111, 0.06582151016485595, -0.07885691357784176, 1729865065348665609, 
-0.7658624329893655, 0.13498253805573038, -0.06972983291021814, 1729865065388709825, 
-0.7515881287858126, 0.17159847142370202, -0.07042299973657595, 1729865065440803917, 
-0.7365557822365352, 0.20543356243542368, -0.07213646694696742, 1729865065484720824, 
-0.714732189890984, 0.2608664275253834, -0.06864251073498825, 1729865065534285131, 
-0.6886903736280203, 0.3210623783854793, -0.07088252057961363, 1729865065584089849, 
-0.6544807613081547, 0.3623068844508989, -0.07576893140031091, 1729865065644740657, 
-0.6229462614238681, 0.39828494788700874, -0.07251111934613848, 1729865065694730932, 
-0.5898928064729341, 0.4305928842146902, -0.06224279735482137, 1729865065744738734, 
-0.5562887652779085, 0.44905594872071486, -0.05836875970685495, 1729865065793709805, 
-0.49798394347930763, 0.446490989278075, -0.07575308958134866, 1729865065882960383, 
-0.4346105176587476, 0.4169741522866772, -0.09692035491413378, 1729865065988997830, 
-0.36862475290647057, 0.4014010394663677, -0.0931784857770891, 1729865066097786182, 
-0.3148840885376747, 0.40115566502584493, -0.07410112279500022, 1729865066187816826, 
-0.25607741484356294, 0.394991255286487, -0.05951716497249618, 1729865066287818224, 
-0.1955625070393836, 0.3785389379632526, -0.05378932566538275, 1729865066398335968, 
-0.14497206773105065, 0.3521167613465445, -0.04175293650830553, 1729865066497768429, 
-0.10187695160182919, 0.3288647973059538, -0.027964374243649448, 1729865066587962860, 
-0.05679410165978105, 0.30951225046932185, -0.019252524475139237, 1729865066687983749, 
-0.008616696595248996, 0.2964513675744029, -0.011702310412107349, 1729865066797822406, 
0.022305880171287207, 0.2475075860053879, -0.003040191682852942, 1729865066899573875, 
0.04569975256751002, 0.18931393607040733, 0.003768259632814788, 1729865066988174004, 
0.07175692137541478, 0.1622974965630616, 0.009574906073851964, 1729865067105099013, 
0.0876894133917312, 0.1315722996305683, 0.014334890571640089, 1729865067197803504, 
0.10232616912827908, 0.10702398484260901, 0.01664875969369446, 1729865067295899339, 
0.11008487386128607, 0.07759506533865065, 0.0190993383605433, 1729865067388732954, 
0.11091970081396374, 0.03022102560787623, 0.02270179496760268, 1729865067506536237, 
0.1119933679379832, 0.006265811504714802, 0.02325268589714464, 1729865067598217905, 
0.11031111537535754, -0.001844293585849223, 0.02101969323034157, 1729865067695775442, 
0.10576712166218805, -0.021867445945934694, 0.020944309866683875, 1729865067789739904, 
