e, e_dot, e_int, stamp, 
-0.785789342027241, -0.0001186125061932697, -0.07768374026813196, 1729863082513649241, 
-0.7857919466694812, -6.401036946046211e-05, -0.07361226939594079, 1729863082557169441, 
-0.7837336321774, 0.014136553678702068, -0.07221858680824, 1729863082605635140, 
-0.773703817303343, 0.06386670549315215, -0.09038690278604543, 1729863082672890381, 
-0.7693049019554663, 0.0985981303740213, -0.07542401744179712, 1729863082702883575, 
-0.7570956132884734, 0.1144919555140785, -0.07055834858767611, 1729863082764918835, 
-0.7411229839651101, 0.16867755079206528, -0.08593138946886154, 1729863082816573320, 
-0.7260168038193644, 0.2079871759497475, -0.07388174670140737, 1729863082864568917, 
-0.7075162750278299, 0.2284075804992709, -0.07098947468910093, 1729863082914505323, 
-0.6885133437221524, 0.27410870023730266, -0.06507097969699228, 1729863082956561692, 
-0.6644843152561082, 0.31381437650071303, -0.06259524424467454, 1729863083005640709, 
-0.6079015530967196, 0.3328778717145748, -0.10473553498905436, 1729863083116797671, 
-0.556050382735513, 0.33949884818248316, -0.12977834536429428, 1729863083218574048, 
-0.5152289765751066, 0.3101966481915181, -0.1112232450575724, 1729863083315507490, 
-0.4757331641733491, 0.2847235789738071, -0.09701770872120712, 1729863083406712878, 
-0.43041331430986673, 0.2972756420104689, -0.09001468702126683, 1729863083505495336, 
-0.38040183019476537, 0.3043548113388405, -0.08957464158764294, 1729863083615584883, 
-0.33966963085567903, 0.2859462740836731, -0.08092588679742048, 1729863083716517390, 
-0.30278559484825074, 0.27089115810177516, -0.06515198554299247, 1729863083806673125, 
-0.2664852936098381, 0.25929772049497185, -0.05713891904611062, 1729863083905107021, 
-0.2315598222175428, 0.22830167170375726, -0.0557680611017562, 1729863084015586421, 
-0.2018961349564643, 0.2033373132055211, -0.049326176532230294, 1729863084116522664, 
-0.17599362760346882, 0.19267774581310718, -0.03902403182948756, 1729863084207681220, 
-0.14755173640906527, 0.1823378184378818, -0.034916974421752886, 1729863084315880582, 
