e, e_dot, e_int, stamp, 
-0.7854021886615934, -1.8656161823521402e-10, -0.09342639579588977, 1729862990669819755, 
-0.7854090555932487, -5.665706886338395e-05, -0.08561463223218142, 1729862990710220376, 
-0.7819271158850682, 0.022632421254236035, -0.07180168332222239, 1729862990761374793, 
-0.771088183888101, 0.09648993662089556, -0.07803336104403868, 1729862990810330556, 
-0.7614006675595326, 0.13819348975508516, -0.07645590214844752, 1729862990860478718, 
-0.7502920387282748, 0.13919891998420406, -0.07582461720443218, 1729862990909978250, 
-0.73781190296988, 0.17565741810716973, -0.06804668886185344, 1729862990951227617, 
-0.720074365985222, 0.21918623889718694, -0.06713856471655359, 1729862991001191760, 
-0.6940168533680429, 0.24407449956974173, -0.08538912121351165, 1729862991070269855, 
-0.6756019395637476, 0.27781095651289117, -0.07623386835389721, 1729862991110634433, 
-0.6500899797009376, 0.32134855343844665, -0.06099634135631112, 1729862991160871543, 
-0.5991262270703368, 0.3401053068783107, -0.09603655386539706, 1729862991260315930, 
-0.54992562681876, 0.3204583010720035, -0.12536985646790869, 1729862991369920970, 
-0.5043601820272636, 0.30112277329829323, -0.11566378532363744, 1729862991470179744, 
-0.4629529486480708, 0.3047820398021526, -0.09624370757417512, 1729862991560221357, 
-0.4180781392208046, 0.30311064732559084, -0.08768708849616523, 1729862991660062033, 
-0.37757977896069317, 0.2990701341282534, -0.07983370490355166, 1729862991750511399, 
-0.3261981860329888, 0.29152899389795534, -0.07883875633080664, 1729862991870887885, 
-0.28858880519508556, 0.28287030581325445, -0.06931576434259762, 1729862991960058211, 
-0.2513054471137197, 0.26486430530926547, -0.0546138329477128, 1729862992060061109, 
-0.21497599383294164, 0.2342602373349698, -0.05286763586228447, 1729862992170164396, 
-0.18183603857508945, 0.21884154042044268, -0.045710254387951406, 1729862992271644298, 
-0.1572455978906966, 0.20154634214945746, -0.03507401122358402, 1729862992360076109, 
-0.13132769223468976, 0.17895453374218695, -0.02957019069527379, 1729862992460225958, 
-0.11044844070555371, 0.16272915792682924, -0.02542674750051773, 1729862992551244250, 
-0.08678797575894626, 0.14424083633017237, -0.022713117922125985, 1729862992667611220, 
-0.07017377325660457, 0.1251831445219126, -0.01897150682922827, 1729862992764080270, 
-0.05655614818388166, 0.10728576379100045, -0.013343101999055734, 1729862992855086399, 
-0.042365942749803764, 0.09722121932605172, -0.010761057543841298, 1729862992954996664, 
-0.03127251136320641, 0.08046966762246487, -0.009180335003352576, 1729862993066623625, 
-0.021923843412301025, 0.06611462880975126, -0.0065648728092626354, 1729862993161088595, 
-0.012600343181292217, 0.0643725104519982, -0.004243663594559549, 1729862993260113438, 
-0.003104841152743454, 0.0602440569279325, -0.002617716409732062, 1729862993369787828, 
0.0026894248146049904, 0.04900084248183209, -0.0008918773103044601, 1729862993465682074, 
0.004208642054025269, 0.025437973871756128, 0.0002421343603851802, 1729862993561287922, 
0.00523460012688215, 0.008723266520440977, 0.0007902946578964949, 1729862993661095331, 
0.006693455955761429, 0.007878680083839587, 0.0011243539782088913, 1729862993770318413, 
0.00780691895039709, 0.009104554284958495, 0.0012433112092400502, 1729862993850096514, 
0.007904209675981821, 0.004944481805981944, 0.0014248135221997676, 1729862993961102605, 
0.007653783295705097, -0.0005261546938509268, 0.001659037596168911, 1729862994063113058, 
0.0076083808272158215, -0.0009899445140134726, 0.0014686207378494121, 1729862994151286112, 
0.009020251929579004, 0.003866627760056945, 0.001656983466119796, 1729862994267827053, 
0.007762099862242522, -0.0005063309719985729, 0.0016977801159455779, 1729862994360108882, 
0.008489816177496223, -0.0020686550898363254, 0.0016027048473696314, 1729862994458080400, 
0.008323330726749845, 0.0018825974307436011, 0.001568723211677255, 1729862994551609284, 
0.00778015839203805, -0.0024130134940393787, 0.0015824092478785173, 1729862994651109669, 
0.00839939592790273, 4.689344320546636e-05, 0.001715895237897855, 1729862994761694166, 
0.007515348733194038, -0.0011408005737853285, 0.001647361083088213, 1729862994859681244, 
0.006608955120758431, -0.006265272706484201, 0.0014319422090221638, 1729862994952418899, 
0.005374377002083985, -0.007338234458008783, 0.0012582754319110743, 1729862995053275176, 
0.005186215547148709, -0.004659384123352751, 0.0011971186963115163, 1729862995161589004, 
0.0026133534675385484, -0.0092353498671072, 0.0009107092496905008, 1729862995260663892, 
0.005311729857413905, -0.0004384126438306604, 0.0009113506466706723, 1729862995370115403, 
0.0030872273072803935, 0.0008549244803290069, 0.0007714437155070511, 1729862995470822434, 
0.0032062121700899837, -0.006926050952718772, 0.0007407456842385143, 1729862995561602230, 
0.001834739201126201, -0.004184858459242315, 0.00051395567836984, 1729862995660516472, 
-0.00014376121151915555, -0.01190546777513552, 0.0003092718844984812, 1729862995751061006, 
0.0012811050325178819, -0.0025423592097817624, 0.00018894279646805963, 1729862995851234021, 
0.0005580624806404977, 0.002576948820916173, 0.00011954124298895226, 1729862995962587723, 
0.0008209448936633557, -0.001275975342274911, 0.00018619535530875977, 1729862996061219909, 
0.0006481386876635575, 0.000363946238367542, 0.000140859007115888, 1729862996171046812, 
3.097049494193982e-06, -0.0026673458060111226, 0.00010313426724964587, 1729862996271386240, 
-0.0005958131289247603, -0.004367095574921399, 3.511850799553073e-06, 1729862996361141662, 
-0.0012283468103699846, -0.004332559406600358, -0.00011518887223134876, 1729862996461147186, 
-0.001893579720481764, -0.00456632464150501, -0.00023572823267886325, 1729862996551360656, 
-0.0010716007653925885, -0.00017564868481566472, -0.0002939135158825534, 1729862996671409451, 
-0.0006827770533823774, 0.003724642504473661, -0.0002552488329753143, 1729862996761271679, 
-0.0012369960716993589, -0.0004073253750180508, -0.00018919639066459628, 1729862996861151420, 
-0.0020221262927133665, -0.004711822060701726, -0.0002513833247464865, 1729862996952588071, 
-0.002339590703500871, -0.003930372306168867, -0.00035552674133419666, 1729862997051655954, 
0.0002803778937989776, 0.006906379916852099, -0.00028376410044814176, 1729862997161169686, 
0.000504955113478367, 0.008754527672116446, -0.00010646136823323032, 1729862997257145755, 
0.0009486522828296984, 0.0021233258144721574, 0.00011910936158523268, 1729862997367242994, 
